PID,BID,Category
Chart,1,1
Chart,2,2
Chart,3,2
Chart,4,1
Chart,4,2
Chart,8,1
Chart,9,1
Chart,10,1
Chart,11,1
Chart,12,1
Chart,13,1
Chart,14,2
Chart,15,2
Chart,19,2
Chart,20,1
Chart,21,2
Chart,23,2
Chart,24,1
Chart,26,1
Chart,26,2
Closure,1,2
Closure,2,2
Closure,5,2
Closure,8,2
Closure,10,1
Closure,12,2
Closure,13,1
Closure,14,1
Closure,15,2
Closure,18,1
Closure,19,2
Closure,26,2
Closure,28,2
Closure,29,2
Closure,31,1
Closure,33,2
Closure,36,2
Closure,38,1
Closure,41,2
Closure,42,2
Closure,43,2
Closure,44,2
Closure,51,1
Closure,52,1
Closure,53,2
Closure,56,2
Closure,57,1
Closure,58,2
Closure,60,2
Closure,61,2
Closure,62,1
Closure,63,1
Closure,65,1
Closure,66,1
Closure,66,2
Closure,67,1
Closure,69,2
Closure,70,1
Closure,71,1
Closure,73,1
Closure,77,1
Closure,77,2
Closure,80,2
Closure,81,2
Closure,84,2
Closure,86,1
Closure,88,2
Closure,91,2
Closure,92,1
Closure,93,1
Closure,94,2
Closure,95,2
Closure,98,2
Closure,102,1
Closure,103,2
Closure,104,1
Closure,107,1
Closure,107,2
Closure,113,1
Closure,114,1
Closure,116,2
Closure,118,2
Closure,119,1
Closure,119,2
Closure,120,2
Closure,123,1
Closure,124,1
Closure,124,2
Closure,125,1
Closure,129,2
Closure,130,1
Closure,133,1
Closure,133,2
Lang,2,2
Lang,3,2
Lang,5,2
Lang,6,1
Lang,9,2
Lang,11,2
Lang,12,2
Lang,13,2
Lang,14,2
Lang,16,1
Lang,21,1
Lang,23,2
Lang,23,3
Lang,24,1
Lang,25,3
Lang,26,1
Lang,28,2
Lang,29,1
Lang,29,3
Lang,30,3
Lang,31,2
Lang,33,1
Lang,37,2
Lang,38,1
Lang,38,2
Lang,39,2
Lang,43,1
Lang,43,2
Lang,44,2
Lang,45,2
Lang,47,2
Lang,48,2
Lang,49,2
Lang,51,1
Lang,51,2
Lang,52,2
Lang,53,3
Lang,54,2
Lang,55,1
Lang,55,2
Lang,56,3
Lang,57,1
Lang,59,1
Lang,61,1
Lang,62,2
Lang,64,2
Lang,65,2
Math,1,2
Math,2,1
Math,3,2
Math,4,2
Math,5,1
Math,10,1
Math,10,2
Math,11,1
Math,12,3
Math,13,2
Math,17,2
Math,19,2
Math,25,2
Math,27,1
Math,28,2
Math,30,1
Math,30,3
Math,32,1
Math,33,1
Math,34,1
Math,36,2
Math,39,2
Math,41,1
Math,45,2
Math,48,2
Math,51,2
Math,53,2
Math,57,1
Math,57,3
Math,58,1
Math,59,1
Math,63,1
Math,69,1
Math,70,1
Math,71,2
Math,73,2
Math,75,1
Math,78,2
Math,79,3
Math,80,1
Math,82,1
Math,84,2
Math,85,1
Math,89,2
Math,90,2
Math,94,1
Math,96,1
Math,99,2
Math,102,2
Math,103,2
Math,104,1
Math,105,1
Math,106,2
Time,3,2
Time,4,1
Time,6,2
Time,7,1
Time,14,2
Time,15,2
Time,16,1
Time,18,2
Time,19,1
Time,24,2
Time,25,2
Time,27,1
Time,27,2
