Fold,isReal,Formula,,0
Closure,0,barinel,count,2125.0
Closure,0,barinel,mean,0.0471296246268
Closure,0,barinel,std,0.145329052894
Closure,0,barinel,min,9.86485153398e-05
Closure,0,barinel,25%,0.00202861413624
Closure,0,barinel,50%,0.00633127994524
Closure,0,barinel,75%,0.0178819444444
Closure,0,barinel,max,0.8497139309
Closure,0,dstar2,count,2125.0
Closure,0,dstar2,mean,0.0407067806429
Closure,0,dstar2,std,0.143469333132
Closure,0,dstar2,min,6.84603272404e-05
Closure,0,dstar2,25%,0.0014194464159
Closure,0,dstar2,50%,0.00434131736527
Closure,0,dstar2,75%,0.0136372305932
Closure,0,dstar2,max,0.8497139309
Closure,0,muse,count,2125.0
Closure,0,muse,mean,0.0542430806903
Closure,0,muse,std,0.12344751647
Closure,0,muse,min,2.13899167932e-05
Closure,0,muse,25%,0.000347222222222
Closure,0,muse,50%,0.00168634064081
Closure,0,muse,75%,0.00833333333333
Closure,0,muse,max,0.826274005411
Closure,0,ochiai_m,count,2125.0
Closure,0,ochiai_m,mean,0.0165921738336
Closure,0,ochiai_m,std,0.0662090119263
Closure,0,ochiai_m,min,3.20848751898e-05
Closure,0,ochiai_m,25%,0.000543773790103
Closure,0,ochiai_m,50%,0.00205338809035
Closure,0,ochiai_m,75%,0.00774336283186
Closure,0,ochiai_m,max,0.826274005411
Closure,0,ochiai_s,count,2125.0
Closure,0,ochiai_s,mean,0.0413120982745
Closure,0,ochiai_s,std,0.143600195515
Closure,0,ochiai_s,min,6.84603272404e-05
Closure,0,ochiai_s,25%,0.00147895335609
Closure,0,ochiai_s,50%,0.00442477876106
Closure,0,ochiai_s,75%,0.0137559808612
Closure,0,ochiai_s,max,0.8497139309
Closure,0,opt2,count,2125.0
Closure,0,opt2,mean,0.0401300039973
Closure,0,opt2,std,0.143304212305
Closure,0,opt2,min,6.84603272404e-05
Closure,0,opt2,25%,0.00131348511384
Closure,0,opt2,50%,0.0041067761807
Closure,0,opt2,75%,0.0133810780249
Closure,0,opt2,max,0.8497139309
Closure,0,tarantula,count,2125.0
Closure,0,tarantula,mean,0.0480345493956
Closure,0,tarantula,std,0.146256512916
Closure,0,tarantula,min,9.86485153398e-05
Closure,0,tarantula,25%,0.00202861413624
Closure,0,tarantula,50%,0.00633127994524
Closure,0,tarantula,75%,0.0178819444444
Closure,0,tarantula,max,0.8497139309
Closure,1,barinel,count,205.0
Closure,1,barinel,mean,0.0497400282871
Closure,1,barinel,std,0.1424941461
Closure,1,barinel,min,0.00014797277301
Closure,1,barinel,25%,0.00221075902727
Closure,1,barinel,50%,0.00714285714286
Closure,1,barinel,75%,0.0331125827815
Closure,1,barinel,max,0.91910199342
Closure,1,dstar2,count,205.0
Closure,1,dstar2,mean,0.0486352627808
Closure,1,dstar2,std,0.142429772398
Closure,1,dstar2,min,0.00014797277301
Closure,1,dstar2,25%,0.00219808637186
Closure,1,dstar2,50%,0.0066181336863
Closure,1,dstar2,75%,0.0338645418327
Closure,1,dstar2,max,0.91910199342
Closure,1,muse,count,205.0
Closure,1,muse,mean,0.229516643885
Closure,1,muse,std,0.20868814898
Closure,1,muse,min,0.00014164305949
Closure,1,muse,25%,0.0037724898433
Closure,1,muse,50%,0.233582647719
Closure,1,muse,75%,0.294612794613
Closure,1,muse,max,0.923306672066
Closure,1,ochiai_m,count,205.0
Closure,1,ochiai_m,mean,0.0854185610412
Closure,1,ochiai_m,std,0.201512063849
Closure,1,ochiai_m,min,0.000161516097771
Closure,1,ochiai_m,25%,0.00163132137031
Closure,1,ochiai_m,50%,0.00616388687455
Closure,1,ochiai_m,75%,0.021186440678
Closure,1,ochiai_m,max,0.923306672066
Closure,1,ochiai_s,count,205.0
Closure,1,ochiai_s,mean,0.0488580639075
Closure,1,ochiai_s,std,0.142371487604
Closure,1,ochiai_s,min,0.00014797277301
Closure,1,ochiai_s,25%,0.00217974513749
Closure,1,ochiai_s,50%,0.00686065767684
Closure,1,ochiai_s,75%,0.0338645418327
Closure,1,ochiai_s,max,0.91910199342
Closure,1,opt2,count,205.0
Closure,1,opt2,mean,0.0576756038146
Closure,1,opt2,std,0.151602220363
Closure,1,opt2,min,0.00022195094884
Closure,1,opt2,25%,0.00252525252525
Closure,1,opt2,50%,0.00852541837701
Closure,1,opt2,75%,0.0384518087528
Closure,1,opt2,max,0.91910199342
Closure,1,tarantula,count,205.0
Closure,1,tarantula,mean,0.0523635467976
Closure,1,tarantula,std,0.144334564724
Closure,1,tarantula,min,0.00014797277301
Closure,1,tarantula,25%,0.00221075902727
Closure,1,tarantula,50%,0.00714285714286
Closure,1,tarantula,75%,0.0344086021505
Closure,1,tarantula,max,0.91910199342
