Fold,isReal,Formula,,0
Lang,0,barinel,count,1591.0
Lang,0,barinel,mean,0.0393341035433
Lang,0,barinel,std,0.139512073398
Lang,0,barinel,min,3.13873195229e-05
Lang,0,barinel,25%,0.0016339869281
Lang,0,barinel,50%,0.00528700906344
Lang,0,barinel,75%,0.0132210942805
Lang,0,barinel,max,0.8497139309
Lang,0,dstar2,count,1591.0
Lang,0,dstar2,mean,0.0346057661955
Lang,0,dstar2,std,0.137819731641
Lang,0,dstar2,min,3.13873195229e-05
Lang,0,dstar2,25%,0.00101430706812
Lang,0,dstar2,50%,0.00366163503213
Lang,0,dstar2,75%,0.00649779735683
Lang,0,dstar2,max,0.8497139309
Lang,0,muse,count,1591.0
Lang,0,muse,mean,0.0457158611185
Lang,0,muse,std,0.1242762773
Lang,0,muse,min,2.13899167932e-05
Lang,0,muse,25%,0.000307125307125
Lang,0,muse,50%,0.00113122171946
Lang,0,muse,75%,0.00420560747664
Lang,0,muse,max,0.826274005411
Lang,0,ochiai_m,count,1591.0
Lang,0,ochiai_m,mean,0.0189817388439
Lang,0,ochiai_m,std,0.08299957729
Lang,0,ochiai_m,min,3.13873195229e-05
Lang,0,ochiai_m,25%,0.000433106220522
Lang,0,ochiai_m,50%,0.00149476831091
Lang,0,ochiai_m,75%,0.00469228512628
Lang,0,ochiai_m,max,0.826274005411
Lang,0,ochiai_s,count,1591.0
Lang,0,ochiai_s,mean,0.0350336098277
Lang,0,ochiai_s,std,0.137947729614
Lang,0,ochiai_s,min,3.13873195229e-05
Lang,0,ochiai_s,25%,0.00101430706812
Lang,0,ochiai_s,50%,0.00398406374502
Lang,0,ochiai_s,75%,0.00702583539287
Lang,0,ochiai_s,max,0.8497139309
Lang,0,opt2,count,1591.0
Lang,0,opt2,mean,0.0341367112761
Lang,0,opt2,std,0.137860470711
Lang,0,opt2,min,3.13873195229e-05
Lang,0,opt2,25%,0.000904217929489
Lang,0,opt2,50%,0.00344311377246
Lang,0,opt2,75%,0.00607476635514
Lang,0,opt2,max,0.8497139309
Lang,0,tarantula,count,1591.0
Lang,0,tarantula,mean,0.040242151478
Lang,0,tarantula,std,0.140613643302
Lang,0,tarantula,min,3.13873195229e-05
Lang,0,tarantula,25%,0.0016339869281
Lang,0,tarantula,50%,0.00528700906344
Lang,0,tarantula,75%,0.0132210942805
Lang,0,tarantula,max,0.8497139309
Lang,1,barinel,count,165.0
Lang,1,barinel,mean,0.0359537289216
Lang,1,barinel,std,0.117946917027
Lang,1,barinel,min,3.13873195229e-05
Lang,1,barinel,25%,0.00166306003046
Lang,1,barinel,50%,0.00563063063063
Lang,1,barinel,75%,0.0194976286668
Lang,1,barinel,max,0.91910199342
Lang,1,dstar2,count,165.0
Lang,1,dstar2,mean,0.0357063963757
Lang,1,dstar2,std,0.118081709949
Lang,1,dstar2,min,3.13873195229e-05
Lang,1,dstar2,25%,0.00166306003046
Lang,1,dstar2,50%,0.00514296499009
Lang,1,dstar2,75%,0.0192195121951
Lang,1,dstar2,max,0.91910199342
Lang,1,muse,count,165.0
Lang,1,muse,mean,0.209582032729
Lang,1,muse,std,0.214045359058
Lang,1,muse,min,5.23176729099e-05
Lang,1,muse,25%,0.00213782696177
Lang,1,muse,50%,0.219512195122
Lang,1,muse,75%,0.294188191882
Lang,1,muse,max,0.923306672066
Lang,1,ochiai_m,count,165.0
Lang,1,ochiai_m,mean,0.0781033113145
Lang,1,ochiai_m,std,0.199275488757
Lang,1,ochiai_m,min,4.70809792844e-05
Lang,1,ochiai_m,25%,0.00141015310234
Lang,1,ochiai_m,50%,0.00529450694904
Lang,1,ochiai_m,75%,0.0171755725191
Lang,1,ochiai_m,max,0.923306672066
Lang,1,ochiai_s,count,165.0
Lang,1,ochiai_s,mean,0.0352495803563
Lang,1,ochiai_s,std,0.117869232318
Lang,1,ochiai_s,min,3.13873195229e-05
Lang,1,ochiai_s,25%,0.00164018781759
Lang,1,ochiai_s,50%,0.00514296499009
Lang,1,ochiai_s,75%,0.0202380952381
Lang,1,ochiai_s,max,0.91910199342
Lang,1,opt2,count,165.0
Lang,1,opt2,mean,0.0463172063988
Lang,1,opt2,std,0.132053363681
Lang,1,opt2,min,3.13873195229e-05
Lang,1,opt2,25%,0.0021747177494
Lang,1,opt2,50%,0.0061919504644
Lang,1,opt2,75%,0.031826757444
Lang,1,opt2,max,0.91910199342
Lang,1,tarantula,count,165.0
Lang,1,tarantula,mean,0.037350677127
Lang,1,tarantula,std,0.119089221048
Lang,1,tarantula,min,3.13873195229e-05
Lang,1,tarantula,25%,0.00166306003046
Lang,1,tarantula,50%,0.00563063063063
Lang,1,tarantula,75%,0.0216216216216
Lang,1,tarantula,max,0.91910199342
