Fold,isReal,Formula,,0
Math,0,barinel,count,1167.0
Math,0,barinel,mean,0.0727622736955
Math,0,barinel,std,0.19014316607
Math,0,barinel,min,3.13873195229e-05
Math,0,barinel,25%,0.00173611111111
Math,0,barinel,50%,0.00779220779221
Math,0,barinel,75%,0.0357142857143
Math,0,barinel,max,0.823863636364
Math,0,dstar2,count,1167.0
Math,0,dstar2,mean,0.0668123163134
Math,0,dstar2,std,0.189949739359
Math,0,dstar2,min,3.13873195229e-05
Math,0,dstar2,25%,0.00104901773794
Math,0,dstar2,50%,0.00513478818999
Math,0,dstar2,75%,0.0258620689655
Math,0,dstar2,max,0.823863636364
Math,0,muse,count,1167.0
Math,0,muse,mean,0.0711724397818
Math,0,muse,std,0.139406496678
Math,0,muse,min,2.13899167932e-05
Math,0,muse,25%,0.000362610797744
Math,0,muse,50%,0.00190839694656
Math,0,muse,75%,0.018691588785
Math,0,muse,max,0.789292279412
Math,0,ochiai_m,count,1167.0
Math,0,ochiai_m,mean,0.0217758444784
Math,0,ochiai_m,std,0.0836871394554
Math,0,ochiai_m,min,3.13873195229e-05
Math,0,ochiai_m,25%,0.000543773790103
Math,0,ochiai_m,50%,0.00225694444444
Math,0,ochiai_m,75%,0.0102040816327
Math,0,ochiai_m,max,0.789292279412
Math,0,ochiai_s,count,1167.0
Math,0,ochiai_s,mean,0.0673586316196
Math,0,ochiai_s,std,0.189941904488
Math,0,ochiai_s,min,3.13873195229e-05
Math,0,ochiai_s,25%,0.00105164237247
Math,0,ochiai_s,50%,0.00536130536131
Math,0,ochiai_s,75%,0.0258620689655
Math,0,ochiai_s,max,0.823863636364
Math,0,opt2,count,1167.0
Math,0,opt2,mean,0.0664073803692
Math,0,opt2,std,0.189917983202
Math,0,opt2,min,3.13873195229e-05
Math,0,opt2,25%,0.00085828724013
Math,0,opt2,50%,0.00494390856037
Math,0,opt2,75%,0.0258620689655
Math,0,opt2,max,0.823863636364
Math,0,tarantula,count,1167.0
Math,0,tarantula,mean,0.073172094492
Math,0,tarantula,std,0.190328007619
Math,0,tarantula,min,3.13873195229e-05
Math,0,tarantula,25%,0.00173611111111
Math,0,tarantula,50%,0.00779220779221
Math,0,tarantula,75%,0.0357142857143
Math,0,tarantula,max,0.823863636364
Math,1,barinel,count,130.0
Math,1,barinel,mean,0.0468237817103
Math,1,barinel,std,0.140673193197
Math,1,barinel,min,3.13873195229e-05
Math,1,barinel,25%,0.00212972233825
Math,1,barinel,50%,0.00738909424833
Math,1,barinel,75%,0.0271423073889
Math,1,barinel,max,0.80377166157
Math,1,dstar2,count,130.0
Math,1,dstar2,mean,0.0464109703512
Math,1,dstar2,std,0.140868836436
Math,1,dstar2,min,3.13873195229e-05
Math,1,dstar2,25%,0.00200152518968
Math,1,dstar2,50%,0.00627700472902
Math,1,dstar2,75%,0.0327911264471
Math,1,dstar2,max,0.80377166157
Math,1,muse,count,130.0
Math,1,muse,mean,0.233917067261
Math,1,muse,std,0.204573572705
Math,1,muse,min,5.23176729099e-05
Math,1,muse,25%,0.00384335339646
Math,1,muse,50%,0.232574705537
Math,1,muse,75%,0.293707529301
Math,1,muse,max,0.789755351682
Math,1,ochiai_m,count,130.0
Math,1,ochiai_m,mean,0.075695935766
Math,1,ochiai_m,std,0.187949786856
Math,1,ochiai_m,min,4.70809792844e-05
Math,1,ochiai_m,25%,0.00138134485995
Math,1,ochiai_m,50%,0.00502729715298
Math,1,ochiai_m,75%,0.0208509951066
Math,1,ochiai_m,max,0.789755351682
Math,1,ochiai_s,count,130.0
Math,1,ochiai_s,mean,0.0465635477933
Math,1,ochiai_s,std,0.140793761924
Math,1,ochiai_s,min,3.13873195229e-05
Math,1,ochiai_s,25%,0.00200152518968
Math,1,ochiai_s,50%,0.00646724259479
Math,1,ochiai_s,75%,0.0327911264471
Math,1,ochiai_s,max,0.80377166157
Math,1,opt2,count,130.0
Math,1,opt2,mean,0.0506571751094
Math,1,opt2,std,0.141652639745
Math,1,opt2,min,3.13873195229e-05
Math,1,opt2,25%,0.00220645519458
Math,1,opt2,50%,0.00742016703633
Math,1,opt2,75%,0.036837905452
Math,1,opt2,max,0.80377166157
Math,1,tarantula,count,130.0
Math,1,tarantula,mean,0.0509608685924
Math,1,tarantula,std,0.143672364389
Math,1,tarantula,min,3.13873195229e-05
Math,1,tarantula,25%,0.00212972233825
Math,1,tarantula,50%,0.00738909424833
Math,1,tarantula,75%,0.0327911264471
Math,1,tarantula,max,0.80377166157
