Fold,isReal,Formula,,0
Time,0,barinel,count,2062.0
Time,0,barinel,mean,0.0525395556021
Time,0,barinel,std,0.154999116809
Time,0,barinel,min,3.13873195229e-05
Time,0,barinel,25%,0.00263259666626
Time,0,barinel,50%,0.00700934579439
Time,0,barinel,75%,0.0202380952381
Time,0,barinel,max,0.8497139309
Time,0,dstar2,count,2062.0
Time,0,dstar2,mean,0.0459147194463
Time,0,dstar2,std,0.153442831887
Time,0,dstar2,min,3.13873195229e-05
Time,0,dstar2,25%,0.00176726481784
Time,0,dstar2,50%,0.00442477876106
Time,0,dstar2,75%,0.0153811651506
Time,0,dstar2,max,0.8497139309
Time,0,muse,count,2062.0
Time,0,muse,mean,0.0611338753673
Time,0,muse,std,0.13425955533
Time,0,muse,min,2.13899167932e-05
Time,0,muse,25%,0.000367177608726
Time,0,muse,50%,0.00204008306372
Time,0,muse,75%,0.00934579439252
Time,0,muse,max,0.826274005411
Time,0,ochiai_m,count,2062.0
Time,0,ochiai_m,mean,0.0214988948966
Time,0,ochiai_m,std,0.0824497581254
Time,0,ochiai_m,min,3.13873195229e-05
Time,0,ochiai_m,25%,0.000684462696783
Time,0,ochiai_m,50%,0.00232385271704
Time,0,ochiai_m,75%,0.0085910652921
Time,0,ochiai_m,max,0.826274005411
Time,0,ochiai_s,count,2062.0
Time,0,ochiai_s,mean,0.0465376548517
Time,0,ochiai_s,std,0.153547944169
Time,0,ochiai_s,min,3.13873195229e-05
Time,0,ochiai_s,25%,0.0017745017745
Time,0,ochiai_s,50%,0.00477099236641
Time,0,ochiai_s,75%,0.0154867256637
Time,0,ochiai_s,max,0.8497139309
Time,0,opt2,count,2062.0
Time,0,opt2,mean,0.0453454159345
Time,0,opt2,std,0.153368263636
Time,0,opt2,min,3.13873195229e-05
Time,0,opt2,25%,0.0016653469777
Time,0,opt2,50%,0.00442477876106
Time,0,opt2,75%,0.0140102345521
Time,0,opt2,max,0.8497139309
Time,0,tarantula,count,2062.0
Time,0,tarantula,mean,0.0534721284118
Time,0,tarantula,std,0.155863099244
Time,0,tarantula,min,3.13873195229e-05
Time,0,tarantula,25%,0.00263259666626
Time,0,tarantula,50%,0.00700934579439
Time,0,tarantula,75%,0.0202380952381
Time,0,tarantula,max,0.8497139309
Time,1,barinel,count,211.0
Time,1,barinel,mean,0.048368731006
Time,1,barinel,std,0.140739089321
Time,1,barinel,min,3.13873195229e-05
Time,1,barinel,25%,0.00226758535582
Time,1,barinel,50%,0.0068312031732
Time,1,barinel,75%,0.0300849307666
Time,1,barinel,max,0.91910199342
Time,1,dstar2,count,211.0
Time,1,dstar2,mean,0.0472810753596
Time,1,dstar2,std,0.140669844422
Time,1,dstar2,min,3.13873195229e-05
Time,1,dstar2,25%,0.00218891575468
Time,1,dstar2,50%,0.00625
Time,1,dstar2,75%,0.0306780730358
Time,1,dstar2,max,0.91910199342
Time,1,muse,count,211.0
Time,1,muse,mean,0.213677805792
Time,1,muse,std,0.207892050697
Time,1,muse,min,5.23176729099e-05
Time,1,muse,25%,0.00252558967512
Time,1,muse,50%,0.228136882129
Time,1,muse,75%,0.292653500439
Time,1,muse,max,0.923306672066
Time,1,ochiai_m,count,211.0
Time,1,ochiai_m,mean,0.0796402548361
Time,1,ochiai_m,std,0.194003769689
Time,1,ochiai_m,min,4.70809792844e-05
Time,1,ochiai_m,25%,0.00177953269553
Time,1,ochiai_m,50%,0.00601726839351
Time,1,ochiai_m,75%,0.0204591608683
Time,1,ochiai_m,max,0.923306672066
Time,1,ochiai_s,count,211.0
Time,1,ochiai_s,mean,0.0474931699876
Time,1,ochiai_s,std,0.140616056793
Time,1,ochiai_s,min,3.13873195229e-05
Time,1,ochiai_s,25%,0.00219525208238
Time,1,ochiai_s,50%,0.00639853747715
Time,1,ochiai_s,75%,0.0309447164896
Time,1,ochiai_s,max,0.91910199342
Time,1,opt2,count,211.0
Time,1,opt2,mean,0.0557764820483
Time,1,opt2,std,0.149681207361
Time,1,opt2,min,3.13873195229e-05
Time,1,opt2,25%,0.00265988125054
Time,1,opt2,50%,0.0075
Time,1,opt2,75%,0.0373846863469
Time,1,opt2,max,0.91910199342
Time,1,tarantula,count,211.0
Time,1,tarantula,mean,0.0509176470945
Time,1,tarantula,std,0.142574572529
Time,1,tarantula,min,3.13873195229e-05
Time,1,tarantula,25%,0.00226758535582
Time,1,tarantula,50%,0.0068312031732
Time,1,tarantula,75%,0.0319321456048
Time,1,tarantula,max,0.91910199342
