Without_Project;Family (Formula);t_test_statistic;t_test_p_value;cohens_d
Chart;mbfl(muse);10.7609481603;5.32281618037e-22;1.09144533104
Chart;mbfl(ochiai);3.5867172428;0.000415653589303;0.479737500157
Chart;sbfl(barinel);-0.29897591058;0.765203382944;-0.0202096349043
Chart;sbfl(dstar2);0.155968975117;0.876182082232;0.0106247320544
Chart;sbfl(ochiai);0.169326465451;0.865675397125;0.0115312788052
Chart;sbfl(opt2);1.03058806036;0.303748104456;0.0746580621678
Chart;sbfl(tarantula);-0.23506280138;0.814350062366;-0.0159403555413
Closure;mbfl(muse);11.8273193642;2.93262852673e-25;1.31668603445
Closure;mbfl(ochiai);4.86498075546;2.25579944593e-06;0.791690945583
Closure;sbfl(barinel);0.250047595474;0.802758589303;0.0179925036156
Closure;sbfl(dstar2);0.760655452195;0.44759234181;0.0552975514909
Closure;sbfl(ochiai);0.724167948335;0.469651375812;0.0525877114711
Closure;sbfl(opt2);1.58995527978;0.113158457788;0.121801755978
Closure;sbfl(tarantula);0.409622518525;0.682439062475;0.0296325820165
Lang;mbfl(muse);9.66637323216;5.4315975121e-18;1.21185413234
Lang;mbfl(ochiai);3.77713123745;0.000219135077589;0.592467569635
Lang;sbfl(barinel);-0.344031896605;0.731159191126;-0.0245597178316
Lang;sbfl(dstar2);0.112074093204;0.910870118587;0.00808718507084
Lang;sbfl(ochiai);0.0220238582773;0.982449497654;0.00158573466095
Lang;sbfl(opt2);1.12306263929;0.262737980589;0.0886964283124
Lang;sbfl(tarantula);-0.291517615335;0.770937336204;-0.020840553432
Math;mbfl(muse);8.84457053971;3.17045402208e-15;1.10562010226
Math;mbfl(ochiai);3.23546610368;0.00152809236243;0.543988382682
Math;sbfl(barinel);-1.91636418969;0.0568519413209;-0.139599204961
Math;sbfl(dstar2);-1.50579213926;0.133819572595;-0.10989532659
Math;sbfl(ochiai);-1.53554448741;0.126351566057;-0.112024041953
Math;sbfl(opt2);-1.15717435111;0.248692940674;-0.0848273855633
Math;sbfl(tarantula);-1.61212023966;0.108653502217;-0.119283440833
Time;mbfl(muse);10.4381391441;4.18077392261e-21;1.06919380772
Time;mbfl(ochiai);4.31359667812;2.43548905972e-05;0.591872668802
Time;sbfl(barinel);-0.406015981587;0.685058576707;-0.0271297850125
Time;sbfl(dstar2);0.133215620709;0.894124400997;0.00897108426198
Time;sbfl(ochiai);0.093184701812;0.925827512817;0.0062698592187
Time;sbfl(opt2);0.961931794656;0.336987188732;0.0681630704909
Time;sbfl(tarantula);-0.24566825692;0.806129851117;-0.0165143829375
