With_Project;Family (Formula);t_test;cohens_d
Chart;mbfl(muse);Ttest_indResult(statistic=4.5223306371961947, pvalue=0.00013883438937541495);1.83329362866
Chart;mbfl(ochiai);Ttest_indResult(statistic=2.9812503503659151, pvalue=0.0066756281987725907);1.53906368581
Chart;sbfl(barinel);Ttest_indResult(statistic=-1.2307194841792379, pvalue=0.22467129282238998);-0.207605459843
Chart;sbfl(dstar2);Ttest_indResult(statistic=-1.0234252499639376, pvalue=0.31149836774564604);-0.173574474445
Chart;sbfl(ochiai);Ttest_indResult(statistic=-1.136428909853654, pvalue=0.26168822567682309);-0.192399898675
Chart;sbfl(opt2);Ttest_indResult(statistic=-0.85836680497997309, pvalue=0.39516838188155401);-0.145485361068
Chart;sbfl(tarantula);Ttest_indResult(statistic=-0.96658743735410513, pvalue=0.33894921917909859);-0.165965827435
Closure;mbfl(muse);Ttest_indResult(statistic=0.5878494305091555, pvalue=0.56038245223961658);0.111761575326
Closure;mbfl(ochiai);Ttest_indResult(statistic=-4.1557056905282588, pvalue=5.4702436875642981e-05);-0.367759317297
Closure;sbfl(barinel);Ttest_indResult(statistic=-4.4441843274387303, pvalue=1.6588603999559231e-05);-0.400162463666
Closure;sbfl(dstar2);Ttest_indResult(statistic=-4.3777430925535761, pvalue=2.179237185226659e-05);-0.394198848773
Closure;sbfl(ochiai);Ttest_indResult(statistic=-4.3796405328593444, pvalue=2.1623928404243904e-05);-0.394370849565
Closure;sbfl(opt2);Ttest_indResult(statistic=-4.1629817662307254, pvalue=5.0882114349059144e-05);-0.379221992635
Closure;sbfl(tarantula);Ttest_indResult(statistic=-4.4441843274387303, pvalue=1.6588603999559231e-05);-0.400162463666
Lang;mbfl(muse);Ttest_indResult(statistic=6.5819222326027536, pvalue=7.1987916325467482e-09);1.08485512427
Lang;mbfl(ochiai);Ttest_indResult(statistic=2.3862581808045853, pvalue=0.019949690477776939);0.632036680215
Lang;sbfl(barinel);Ttest_indResult(statistic=-0.28727359860409191, pvalue=0.77467938268811554);-0.0361910822195
Lang;sbfl(dstar2);Ttest_indResult(statistic=-0.0099760129475307165, pvalue=0.99206641447827515);-0.00125950490659
Lang;sbfl(ochiai);Ttest_indResult(statistic=0.03446101842607141, pvalue=0.97259933698867784);0.00434917262131
Lang;sbfl(opt2);Ttest_indResult(statistic=0.14480445619942753, pvalue=0.88524703608843769);0.0183549694342
Lang;sbfl(tarantula);Ttest_indResult(statistic=-0.10374977402237374, pvalue=0.91764069969225126);-0.0132161854837
Math;mbfl(muse);Ttest_indResult(statistic=7.3072043721049988, pvalue=5.8324479205127459e-11);1.21044466741
Math;mbfl(ochiai);Ttest_indResult(statistic=3.0322416418129006, pvalue=0.0030888720556477467);0.673632651666
Math;sbfl(barinel);Ttest_indResult(statistic=1.2568615360866355, pvalue=0.21151844188798352);0.168865050869
Math;sbfl(dstar2);Ttest_indResult(statistic=1.5981899518826144, pvalue=0.11294993796191118);0.22286231916
Math;sbfl(ochiai);Ttest_indResult(statistic=1.5732383037400461, pvalue=0.11861411622029674);0.218640592366
Math;sbfl(opt2);Ttest_indResult(statistic=2.354592446848732, pvalue=0.020408028650170006);0.368572859938
Math;sbfl(tarantula);Ttest_indResult(statistic=1.1572182292552571, pvalue=0.24972690631003619);0.152300337473
Time;mbfl(muse);Ttest_indResult(statistic=5.7157613727716674, pvalue=2.2613497549296599e-05);2.82065283295
Time;mbfl(ochiai);Ttest_indResult(statistic=1.0460574413232957, pvalue=0.31015573347704573);0.849114467986
Time;sbfl(barinel);Ttest_indResult(statistic=-1.8936710661032814, pvalue=0.059593371218251492);-0.145124066799
Time;sbfl(dstar2);Ttest_indResult(statistic=-1.8321732440166552, pvalue=0.068294419905689741);-0.140567177021
Time;sbfl(ochiai);Ttest_indResult(statistic=-1.8294187212566904, pvalue=0.068706402503555877);-0.140319526738
Time;sbfl(opt2);Ttest_indResult(statistic=-0.85140023805090792, pvalue=0.39705874913309003);-0.0803980921425
Time;sbfl(tarantula);Ttest_indResult(statistic=-1.8936710661032814, pvalue=0.059593371218251492);-0.145124066799
