Exam_Score,isReal,Method,Bug_Type
16.99,No,Sun,Artificial
10.34,No,Sun,Artificial
21.01,No,Sun,Artificial
23.68,No,Sun,Artificial
24.59,No,Sun,Artificial
25.29,No,Sun,Artificial
8.77,No,Sun,Artificial
26.88,No,Sun,Artificial
15.04,No,Sun,Artificial
14.78,No,Sun,Artificial
10.27,No,Sun,Artificial
35.26,No,Sun,Artificial
15.42,No,Sun,Artificial
18.43,No,Sun,Artificial
14.83,No,Sun,Artificial
21.58,No,Sun,Artificial
10.33,No,Sun,Artificial
16.29,No,Sun,Artificial
16.97,No,Sun,Artificial
20.65,No,Sat,Artificial
17.92,No,Sat,Artificial
20.29,No,Sat,Artificial
15.77,No,Sat,Artificial
39.42,No,Sat,Artificial
19.82,No,Sat,Artificial
17.81,No,Sat,Artificial
13.37,No,Sat,Artificial
12.69,No,Sat,Artificial
21.7,No,Sat,Artificial
19.65,No,Sat,Artificial
9.55,No,Sat,Artificial
18.35,No,Sat,Artificial
15.06,No,Sat,Artificial
20.69,No,Sat,Artificial
17.78,No,Sat,Artificial
24.06,No,Sat,Artificial
16.31,No,Sat,Artificial
16.93,No,Sat,Artificial
18.69,No,Sat,Artificial
31.27,No,Sat,Artificial
16.04,No,Sat,Artificial
17.46,No,Sun,Artificial
13.94,No,Sun,Artificial
9.68,No,Sun,Artificial
30.4,No,Sun,Artificial
18.29,No,Sun,Artificial
22.23,No,Sun,Artificial
32.4,No,Sun,Artificial
28.55,No,Sun,Artificial
18.04,No,Sun,Artificial
12.54,No,Sun,Artificial
10.29,No,Sun,Artificial
34.81,No,Sun,Artificial
9.94,No,Sun,Artificial
25.56,No,Sun,Artificial
19.49,No,Sun,Artificial
38.01,Yes,Sat,Real
26.41,No,Sat,Artificial
11.24,Yes,Sat,Real
48.27,No,Sat,Artificial
20.29,Yes,Sat,Real
13.81,Yes,Sat,Real
11.02,Yes,Sat,Real
18.29,Yes,Sat,Real
17.59,No,Sat,Artificial
20.08,No,Sat,Artificial
16.45,No,Sat,Artificial
3.07,Yes,Sat,Real
20.23,No,Sat,Artificial
15.01,Yes,Sat,Real
12.02,No,Sat,Artificial
17.07,No,Sat,Artificial
26.86,Yes,Sat,Real
25.28,Yes,Sat,Real
14.73,No,Sat,Artificial
10.51,No,Sat,Artificial
17.92,Yes,Sat,Real
27.2,No,Thur,Artificial
22.76,No,Thur,Artificial
17.29,No,Thur,Artificial
19.44,Yes,Thur,Real
16.66,No,Thur,Artificial
10.07,No,Thur,Artificial
32.68,Yes,Thur,Real
15.98,No,Thur,Artificial
34.83,No,Thur,Artificial
13.03,No,Thur,Artificial
18.28,No,Thur,Artificial
24.71,No,Thur,Artificial
21.16,No,Thur,Artificial
28.97,Yes,Fri,Real
22.49,No,Fri,Artificial
5.75,Yes,Fri,Real
16.32,Yes,Fri,Real
22.75,No,Fri,Artificial
40.17,Yes,Fri,Real
27.28,Yes,Fri,Real
12.03,Yes,Fri,Real
21.01,Yes,Fri,Real
12.46,No,Fri,Artificial
11.35,Yes,Fri,Real
15.38,Yes,Fri,Real
44.3,Yes,Sat,Real
22.42,Yes,Sat,Real
20.92,No,Sat,Artificial
15.36,Yes,Sat,Real
20.49,Yes,Sat,Real
25.21,Yes,Sat,Real
18.24,No,Sat,Artificial
14.31,Yes,Sat,Real
14.0,No,Sat,Artificial
7.25,No,Sat,Artificial
38.07,No,Sun,Artificial
23.95,No,Sun,Artificial
25.71,No,Sun,Artificial
17.31,No,Sun,Artificial
29.93,No,Sun,Artificial
10.65,No,Thur,Artificial
12.43,No,Thur,Artificial
24.08,No,Thur,Artificial
11.69,No,Thur,Artificial
13.42,No,Thur,Artificial
14.26,No,Thur,Artificial
15.95,No,Thur,Artificial
12.48,No,Thur,Artificial
29.8,No,Thur,Artificial
8.52,No,Thur,Artificial
14.52,No,Thur,Artificial
11.38,No,Thur,Artificial
22.82,No,Thur,Artificial
19.08,No,Thur,Artificial
20.27,No,Thur,Artificial
11.17,No,Thur,Artificial
12.26,No,Thur,Artificial
18.26,No,Thur,Artificial
8.51,No,Thur,Artificial
10.33,No,Thur,Artificial
14.15,No,Thur,Artificial
16.0,Yes,Thur,Real
13.16,No,Thur,Artificial
17.47,No,Thur,Artificial
34.3,No,Thur,Artificial
41.19,No,Thur,Artificial
27.05,No,Thur,Artificial
16.43,No,Thur,Artificial
8.35,No,Thur,Artificial
18.64,No,Thur,Artificial
11.87,No,Thur,Artificial
9.78,No,Thur,Artificial
7.51,No,Thur,Artificial
14.07,No,Sun,Artificial
13.13,No,Sun,Artificial
17.26,No,Sun,Artificial
24.55,No,Sun,Artificial
19.77,No,Sun,Artificial
29.85,No,Sun,Artificial
48.17,No,Sun,Artificial
25.0,No,Sun,Artificial
13.39,No,Sun,Artificial
16.49,No,Sun,Artificial
21.5,No,Sun,Artificial
12.66,No,Sun,Artificial
16.21,No,Sun,Artificial
13.81,No,Sun,Artificial
17.51,Yes,Sun,Real
24.52,No,Sun,Artificial
20.76,No,Sun,Artificial
31.71,No,Sun,Artificial
10.59,Yes,Sat,Real
10.63,Yes,Sat,Real
50.81,Yes,Sat,Real
15.81,Yes,Sat,Real
7.25,Yes,Sun,Real
31.85,Yes,Sun,Real
16.82,Yes,Sun,Real
32.9,Yes,Sun,Real
17.89,Yes,Sun,Real
14.48,Yes,Sun,Real
9.6,Yes,Sun,Real
34.63,Yes,Sun,Real
34.65,Yes,Sun,Real
23.33,Yes,Sun,Real
45.35,Yes,Sun,Real
23.17,Yes,Sun,Real
40.55,Yes,Sun,Real
20.69,No,Sun,Artificial
20.9,Yes,Sun,Real
30.46,Yes,Sun,Real
18.15,Yes,Sun,Real
23.1,Yes,Sun,Real
15.69,Yes,Sun,Real
19.81,Yes,Thur,Real
28.44,Yes,Thur,Real
15.48,Yes,Thur,Real
16.58,Yes,Thur,Real
7.56,No,Thur,Artificial
10.34,Yes,Thur,Real
43.11,Yes,Thur,Real
13.0,Yes,Thur,Real
13.51,Yes,Thur,Real
18.71,Yes,Thur,Real
12.74,Yes,Thur,Real
13.0,Yes,Thur,Real
16.4,Yes,Thur,Real
20.53,Yes,Thur,Real
16.47,Yes,Thur,Real
26.59,Yes,Sat,Real
38.73,Yes,Sat,Real
24.27,Yes,Sat,Real
12.76,Yes,Sat,Real
30.06,Yes,Sat,Real
25.89,Yes,Sat,Real
48.33,No,Sat,Artificial
13.27,Yes,Sat,Real
28.17,Yes,Sat,Real
12.9,Yes,Sat,Real
28.15,Yes,Sat,Real
11.59,Yes,Sat,Real
7.74,Yes,Sat,Real
30.14,Yes,Sat,Real
12.16,Yes,Fri,Real
13.42,Yes,Fri,Real
8.58,Yes,Fri,Real
15.98,No,Fri,Artificial
13.42,Yes,Fri,Real
16.27,Yes,Fri,Real
10.09,Yes,Fri,Real
20.45,No,Sat,Artificial
13.28,No,Sat,Artificial
22.12,Yes,Sat,Real
24.01,Yes,Sat,Real
15.69,Yes,Sat,Real
11.61,No,Sat,Artificial
10.77,No,Sat,Artificial
15.53,Yes,Sat,Real
10.07,No,Sat,Artificial
12.6,Yes,Sat,Real
32.83,Yes,Sat,Real
35.83,No,Sat,Artificial
29.03,No,Sat,Artificial
27.18,Yes,Sat,Real
22.67,Yes,Sat,Real
17.82,No,Sat,Artificial
18.78,No,Thur,Artificial
