Method,Exam_Score,Bug Type
mbfl muse,0.00457317073171,Artificial
mbfl ochiai,0.00228658536585,Artificial
sbfl opt2,0.00533536585366,Artificial
sbfl dstar2,0.00533536585366,Artificial
sbfl barinel,0.00533536585366,Artificial
sbfl tarantula,0.00533536585366,Artificial
sbfl ochiai,0.00533536585366,Artificial
mbfl muse,0.00190839694656,Artificial
mbfl ochiai,0.00190839694656,Artificial
sbfl opt2,0.00477099236641,Artificial
sbfl dstar2,0.00477099236641,Artificial
sbfl barinel,0.00477099236641,Artificial
sbfl tarantula,0.00477099236641,Artificial
sbfl ochiai,0.00477099236641,Artificial
mbfl muse,0.00295109612142,Artificial
mbfl ochiai,0.00758853288364,Artificial
sbfl opt2,0.0210792580101,Artificial
sbfl dstar2,0.0210792580101,Artificial
sbfl barinel,0.0210792580101,Artificial
sbfl tarantula,0.0210792580101,Artificial
sbfl ochiai,0.0210792580101,Artificial
mbfl muse,0.00190839694656,Artificial
mbfl ochiai,0.0114503816794,Artificial
sbfl opt2,0.0181297709924,Artificial
sbfl dstar2,0.0181297709924,Artificial
sbfl barinel,0.0209923664122,Artificial
sbfl tarantula,0.0209923664122,Artificial
sbfl ochiai,0.0190839694656,Artificial
mbfl muse,0.0047619047619,Artificial
mbfl ochiai,0.0202380952381,Artificial
sbfl opt2,0.0285714285714,Artificial
sbfl dstar2,0.0285714285714,Artificial
sbfl barinel,0.0285714285714,Artificial
sbfl tarantula,0.0285714285714,Artificial
sbfl ochiai,0.0285714285714,Artificial
mbfl muse,0.00595238095238,Artificial
mbfl ochiai,0.0238095238095,Artificial
sbfl opt2,0.0285714285714,Artificial
sbfl dstar2,0.0285714285714,Artificial
sbfl barinel,0.0285714285714,Artificial
sbfl tarantula,0.0285714285714,Artificial
sbfl ochiai,0.0285714285714,Artificial
mbfl muse,0.00952380952381,Artificial
mbfl ochiai,0.0107142857143,Artificial
sbfl opt2,0.0202380952381,Artificial
sbfl dstar2,0.0202380952381,Artificial
sbfl barinel,0.0202380952381,Artificial
sbfl tarantula,0.0202380952381,Artificial
sbfl ochiai,0.0202380952381,Artificial
mbfl muse,0.184615384615,Real
mbfl ochiai,0.0307692307692,Real
sbfl opt2,0.0461538461538,Real
sbfl dstar2,0.0461538461538,Real
sbfl barinel,0.0461538461538,Real
sbfl tarantula,0.0461538461538,Real
sbfl ochiai,0.0461538461538,Real
mbfl muse,0.00126475548061,Artificial
mbfl ochiai,0.0105396290051,Artificial
sbfl opt2,0.778246205734,Artificial
sbfl dstar2,0.778246205734,Artificial
sbfl barinel,0.778246205734,Artificial
sbfl tarantula,0.778246205734,Artificial
sbfl ochiai,0.778246205734,Artificial
mbfl muse,0.00337268128162,Artificial
mbfl ochiai,0.0155986509275,Artificial
sbfl opt2,0.0155986509275,Artificial
sbfl dstar2,0.0155986509275,Artificial
sbfl barinel,0.0155986509275,Artificial
sbfl tarantula,0.0155986509275,Artificial
sbfl ochiai,0.0155986509275,Artificial
mbfl muse,0.000116822429907,Artificial
mbfl ochiai,0.00122663551402,Artificial
sbfl opt2,0.00181074766355,Artificial
sbfl dstar2,0.00181074766355,Artificial
sbfl barinel,0.00181074766355,Artificial
sbfl tarantula,0.00181074766355,Artificial
sbfl ochiai,0.00181074766355,Artificial
mbfl muse,0.00595238095238,Artificial
mbfl ochiai,0.00833333333333,Artificial
